"Nombre","Plataforma","Año","Genero","Editorial","Ventas NA","Ventas EU","Ventas JP","Ventas Otros","Ventas Global","CALIFICACIÓN DEL PUBLICO"
"Red Faction: Guerrilla","X360","2009","Shooter","THQ","0.48","0.29","0.01","0.09","0.87","Bueno"
"The House of the Dead: Overkill","Wii","2009","Shooter","Sega","0.46","0.31","0.02","0.09","0.87","Malo"
"Wizards of Waverly Place","DS","2009","Misc","Disney Interactive Studios","0.59","0.2","0","0.08","0.87","Excelente"
"Scooby-Doo! First Frights","DS","2009","Action","Warner Bros. Interactive Entertainment","0.63","0.17","0","0.07","0.87","Aceptable"
"Gold's Gym: Dance Workout","Wii","2010","Sports","Ubisoft","0.71","0.11","0","0.06","0.87","Bueno"
"Pictionary","Wii","2010","Puzzle","THQ","0.61","0.19","0","0.07","0.87","Bueno"
"Guitar Hero: Warriors of Rock","X360","2010","Misc","Activision","0.47","0.32","0","0.08","0.87","Excelente"
"NCAA Football 13","PS3","2012","Action","Electronic Arts","0.82","0","0","0.06","0.87","Bueno"
"Kingdoms of Amalur: Reckoning","PS3","2012","Role-Playing","Electronic Arts","0.37","0.3","0.09","0.11","0.87","Bueno"
"Tales of Xillia 2","PS3","2012","Role-Playing","Namco Bandai Games","0.2","0.15","0.45","0.07","0.87","Excelente"
"NBA 2K14","XOne","2013","Sports","Take-Two Interactive","0.7","0.11","0","0.06","0.87","Malo"
"Injustice: Gods Among Us","PS4","2013","Fighting","Warner Bros. Interactive Entertainment","0.46","0.29","0","0.12","0.87","Bueno"
"Madden Football 64","N64","1997","Sports","Electronic Arts","0.81","0.04","0","0.01","0.86","Bueno"
"MLB 99","PS","1998","Sports","Sony Computer Entertainment","0.48","0.32","0","0.06","0.86","Bueno"
"Ford Racing","PS","2001","Racing","Empire Interactive","0.48","0.33","0","0.06","0.86","Malo"
"Rocky","PS2","2002","Fighting","Rage Software","0.42","0.33","0","0.11","0.86","Aceptable"
"Dynasty Warriors 4: Xtreme Legends","PS2","2003","Action","Tecmo Koei","0.17","0.13","0.51","0.04","0.86","Aceptable"
"Winning Eleven: Pro Evolution Soccer 2007","PSP","2006","Sports","Konami Digital Entertainment","0.01","0.72","0.12","0.01","0.86","Malo"
"Tomb Raider: Anniversary","Wii","2007","Action","Eidos Interactive","0.12","0.63","0","0.11","0.86","Aceptable"
"The World Ends With You","DS","2007","Role-Playing","Square Enix","0.54","0.06","0.21","0.05","0.86","Aceptable"
"Dragon Ball Z: Burst Limit","PS3","2008","Fighting","Atari","0.22","0.34","0.18","0.12","0.86","Malo"
"The Legendary Starfy","DS","2008","Platform","Nintendo","0.61","0","0.2","0.05","0.86","Bueno"
"Ghostbusters: The Video Game","PS3","2009","Action","Sony Computer Entertainment","0.34","0.37","0","0.15","0.86","Bueno"
"Ninja Gaiden Sigma 2","PS3","2009","Action","Ubisoft Annecy","0.52","0.16","0.08","0.1","0.86","Malo"
"2010 FIFA World Cup South Africa","X360","2010","Sports","Electronic Arts","0.32","0.43","0.02","0.09","0.86","Bueno"
"Darksiders II","PS3","2012","Action","THQ","0.35","0.37","0.01","0.14","0.86","Aceptable"
"Monster Strike 3DS","3DS","2015","Action","mixi, Inc","0","0","0.86","0","0.86","Malo"
"Dragon Quest VIII: Journey of the Cursed King","3DS","2015","Role-Playing","Square Enix","0","0","0.86","0","0.86","Bueno"
"Castlevania III: Dracula's Curse","NES","1989","Platform","Konami Digital Entertainment","0.4","0.07","0.37","0.01","0.85","Excelente"
"NFL GameDay","PS","1995","Sports","Sony Computer Entertainment","0.47","0.32","0","0.06","0.85","Aceptable"
"Street Fighter Alpha 2","PS","1996","Fighting","Virgin Interactive","0.14","0.09","0.57","0.06","0.85","Excelente"
"Rampage World Tour","PS","1997","Action","GT Interactive","0.47","0.32","0","0.06","0.85","Bueno"
"Army Men: Air Attack","PS","1999","Action","3DO","0.47","0.32","0","0.06","0.85","Malo"
"Street Fighter EX3","PS2","2000","Fighting","Virgin Interactive","0.32","0.25","0.2","0.08","0.85","Malo"
"Burnout 2: Point of Impact","PS2","2002","Racing","Acclaim Entertainment","0.42","0.32","0","0.11","0.85","Aceptable"
"Tiger Woods PGA Tour 2005","XB","2004","Sports","Electronic Arts","0.64","0.18","0","0.03","0.85","Bueno"
"Burnout Legends","PSP","2005","Racing","Electronic Arts","0.7","0.06","0","0.09","0.85","Aceptable"
"FIFA Soccer 08","DS","2007","Sports","Electronic Arts","0.1","0.65","0","0.11","0.85","Bueno"
"NBA 2K8","X360","2007","Sports","Take-Two Interactive","0.79","0","0","0.07","0.85","Aceptable"
"Blazing Angels: Squadrons of WWII","Wii","2007","Simulation","Ubisoft","0.74","0.04","0","0.06","0.85","Aceptable"
"Harry Potter and the Order of the Phoenix","DS","2007","Action","Electronic Arts","0.28","0.47","0","0.1","0.85","Bueno"
"Ratatouille","PS2","2007","Action","THQ","0.31","0","0","0.53","0.85","Excelente"
"Madden NFL 09 All-Play","Wii","2008","Sports","Electronic Arts","0.78","0.01","0","0.07","0.85","Bueno"
"Skate 2","PS3","2009","Sports","Electronic Arts","0.46","0.26","0.01","0.12","0.85","Bueno"
"Need for Speed: Nitro","Wii","2009","Racing","Electronic Arts","0.46","0.31","0","0.08","0.85","Excelente"
"Army of Two: The 40th Day","PS3","2010","Shooter","Electronic Arts","0.44","0.27","0.01","0.12","0.85","Aceptable"
"Karaoke Revolution Glee","Wii","2010","Misc","Konami Digital Entertainment","0.52","0.25","0","0.07","0.85","Aceptable"
"Sniper Elite V2","X360","2012","Shooter","505 Games","0.46","0.29","0.02","0.07","0.85","Aceptable"
"Forza Horizon 2","X360","2014","Racing","Microsoft Game Studios","0.35","0.43","0","0.07","0.85","Bueno"
"WWE 2K15","PS3","2014","Sports","Take-Two Interactive","0.36","0.35","0","0.14","0.85","Malo"
"Far Cry: Primal","XOne","2016","Action","Ubisoft","0.46","0.32","0","0.07","0.85","Malo"
"Overwatch","XOne","2016","Shooter","Activision","0.52","0.25","0","0.08","0.85","Excelente"
"Kirby: Planet Robobot","3DS","2016","Action","Nintendo","0.26","0.1","0.44","0.04","0.85","Excelente"
"Final Fantasy","NES","1987","Role-Playing","SquareSoft","0.32","0","0.52","0","0.84","Malo"
"Q*bert","PS","1999","Puzzle","Atari","0.46","0.32","0","0.05","0.84","Malo"
"Rocket Power: Team Rocket Rescue","PS","2001","Sports","THQ","0.47","0.32","0","0.05","0.84","Malo"
"Big Mutha Truckers","PS2","2002","Racing","Empire Interactive","0.41","0.32","0","0.11","0.84","Bueno"
"ATV Quad Power Racing 2","PS2","2003","Racing","Acclaim Entertainment","0.41","0.32","0","0.11","0.84","Malo"
"Spider-Man 2","GC","2004","Action","Activision","0.65","0.17","0","0.02","0.84","Malo"
"The Incredibles","GC","2004","Action","THQ","0.65","0.17","0","0.02","0.84","Aceptable"
"ESPN College Hoops 2K5","PS2","2004","Sports","Sega","0.41","0.32","0","0.11","0.84","Aceptable"
"Metroid: Zero Mission","GBA","2004","Adventure","Nintendo","0.6","0.22","0","0.01","0.84","Excelente"
"Rogue Galaxy","PS2","2005","Role-Playing","Sony Computer Entertainment","0.24","0.16","0.39","0.05","0.84","Malo"
"Harvest Moon: Tree of Tranquility","Wii","2007","Simulation","Rising Star Games","0.69","0.03","0.06","0.06","0.84","Malo"
"Time Crisis 4","PS3","2007","Shooter","Namco Bandai Games","0.32","0.33","0.05","0.14","0.84","Aceptable"
"Ben 10: Protector of Earth","PS2","2007","Action","D3Publisher","0.09","0","0","0.74","0.84","Aceptable"
"Petz Dogz Fashion","DS","2008","Simulation","Ubisoft","0.46","0.3","0","0.09","0.84","Aceptable"
"NBA 2K10","PS3","2009","Sports","Take-Two Interactive","0.75","0.01","0.01","0.07","0.84","Excelente"
"Golden Sun: Dark Dawn","DS","2010","Role-Playing","Nintendo","0.56","0.11","0.13","0.05","0.84","Aceptable"
"Tiger Woods PGA Tour 11","PS3","2010","Sports","Electronic Arts","0.37","0.34","0","0.13","0.84","Bueno"
"NCAA Football 11","PS3","2010","Sports","Electronic Arts","0.79","0","0","0.06","0.84","Bueno"
"Dragon Age II","PS3","2011","Action","Electronic Arts","0.4","0.27","0.05","0.12","0.84","Aceptable"
"Duke Nukem Forever","X360","2011","Shooter","Take-Two Interactive","0.52","0.25","0","0.07","0.84","Aceptable"
"Devil May Cry HD Collection","PS3","2012","Action","Capcom","0.42","0.21","0.11","0.1","0.84","Aceptable"
"Street Fighter X Tekken","PS3","2012","Fighting","Capcom","0.42","0.22","0.1","0.1","0.84","Bueno"
"Need for Speed Rivals","X360","2013","Racing","Electronic Arts","0.37","0.38","0.01","0.08","0.84","Bueno"
"Thief (2014)","PS4","2014","Action","Square Enix","0.28","0.37","0.03","0.16","0.84","Excelente"
"FIFA 15","PSV","2014","Sports","Electronic Arts","0.13","0.48","0.04","0.19","0.84","Aceptable"
"Xenoblade Chronicles X","WiiU","2015","Role-Playing","Nintendo","0.36","0.28","0.14","0.06","0.84","Excelente"
"Borderlands: The Handsome Collection","PS4","2015","Shooter","Take-Two Interactive","0.36","0.32","0.03","0.14","0.84","Excelente"
"MLB 16: The Show","PS4","2016","Action","Sony Computer Entertainment","0.68","0","0","0.16","0.84","Excelente"
"Casper","PS","1996","Adventure","Interplay","0.46","0.31","0","0.05","0.83","Aceptable"
"Mega Man Legends","PS","1997","Adventure","Capcom","0.39","0.26","0.12","0.05","0.83","Malo"
"The Game of Life","PS","1998","Misc","Unknown","0.46","0.31","0","0.05","0.83","Aceptable"
"MediEvil","PS","1998","Platform","Sony Computer Entertainment","0.46","0.31","0","0.05","0.83","Aceptable"
"Ace Combat 3: Electrosphere","PS","1999","Simulation","Sony Computer Entertainment","0.22","0.15","0.4","0.05","0.83","Excelente"
"Dynasty Warriors 2","PS2","2000","Action","THQ","0.24","0.19","0.34","0.06","0.83","Malo"
"FIFA Soccer World Championship","PS2","2000","Sports","Electronic Arts","0.27","0.21","0.28","0.07","0.83","Aceptable"
"Yu-Gi-Oh! Dark Duel Stories","GB","2000","Misc","Konami Digital Entertainment","0","0","0.83","0","0.83","Malo"
"Brute Force","XB","2003","Shooter","Microsoft Game Studios","0.62","0.18","0.01","0.03","0.83","Malo"
"Lizzie McGuire 2: Lizzie Diaries","GBA","2004","Action","Disney Interactive Studios","0.6","0.22","0","0.01","0.83","Malo"
"Sly 3: Honor Among Thieves","PS2","2005","Platform","Sony Computer Entertainment","0.69","0.03","0","0.11","0.83","Aceptable"
"I Spy: Fun House","DS","2007","Puzzle","Scholastic Inc.","0.77","0","0","0.06","0.83","Malo"
"WWE SmackDown vs. Raw 2009","Wii","2008","Fighting","THQ","0.44","0.31","0","0.08","0.83","Excelente"
"Battle of Giants: Dinosaurs","DS","2008","Strategy","Ubisoft","0.38","0.37","0","0.09","0.83","Malo"
"The Price is Right","Wii","2008","Misc","Ubisoft","0.77","0","0","0.06","0.83","Bueno"
"Sid Meier's Civilization Revolution","X360","2008","Strategy","Take-Two Interactive","0.58","0.17","0","0.07","0.83","Aceptable"
"Dragon Ball: Raging Blast 2","PS3","2010","Fighting","Namco Bandai Games","0.42","0.2","0.11","0.09","0.83","Malo"
"NCAA Football 12","PS3","2011","Sports","Electronic Arts","0.78","0","0","0.05","0.83","Malo"
"Dance Central 3","X360","2012","Misc","Microsoft Game Studios","0.57","0.2","0","0.06","0.83","Aceptable"
"The Amazing Spider-Man (Console Version)","PS3","2012","Action","Activision","0.31","0.37","0","0.14","0.83","Bueno"
"Borderlands 2","PSV","2014","Shooter","Take-Two Interactive","0.43","0.21","0.01","0.19","0.83","Excelente"
"Custer's Revenge","2600","1981","Action","Mystique","0.76","0.05","0","0.01","0.82","Malo"
"Clu Clu Land","NES","1984","Puzzle","Nintendo","0.42","0.1","0.28","0.02","0.82","Aceptable"
"Killer Instinct Gold","N64","1996","Fighting","Nintendo","0.61","0.19","0","0.01","0.82","Aceptable"
"Tony Hawk's Pro Skater 3","GC","2001","Sports","Activision","0.64","0.17","0","0.02","0.82","Aceptable"
"Amped: Freestyle Snowboarding","XB","2001","Sports","Microsoft Game Studios","0.69","0.11","0","0.02","0.82","Aceptable"
"James Bond 007: Nightfire","XB","2002","Shooter","Electronic Arts","0.58","0.22","0","0.03","0.82","Excelente"
"Need for Speed: Hot Pursuit 2","XB","2002","Racing","Electronic Arts","0.68","0.11","0","0.03","0.82","Aceptable"
"Rocket Power: Beach Bandits","PS2","2002","Platform","THQ","0.4","0.31","0","0.1","0.82","Excelente"
"Tony Hawk's Underground 2 Remix","PSP","2005","Sports","Activision","0.46","0.21","0","0.15","0.82","Bueno"
"MediEvil: Resurrection","PSP","2005","Adventure","Sony Computer Entertainment","0.19","0.41","0","0.22","0.82","Excelente"
"Marvel: Ultimate Alliance","PS2","2006","Role-Playing","Activision","0.69","0.03","0","0.11","0.82","Excelente"
"Stranglehold","X360","2007","Shooter","Midway Games","0.4","0.33","0.01","0.09","0.82","Aceptable"
"Imagine: Rock Star","DS","2008","Simulation","Ubisoft","0.4","0.33","0","0.09","0.82","Bueno"
"Shin Megami Tensei: Persona 4","PS2","2008","Role-Playing","Atlus","0.34","0.04","0.36","0.08","0.82","Bueno"
"SingStar Vol. 2","PS3","2008","Misc","Sony Computer Entertainment","0.29","0.4","0","0.13","0.82","Bueno"
"Deca Sports 2","Wii","2009","Sports","Hudson Soft","0.33","0.34","0.09","0.07","0.82","Malo"
"Star Wars The Clone Wars: Republic Heroes","Wii","2009","Action","LucasArts","0.44","0.3","0","0.08","0.82","Aceptable"
"DJ Hero 2","X360","2010","Misc","Activision","0.64","0.12","0","0.06","0.82","Bueno"
"Guitar Hero: Warriors of Rock","PS3","2010","Misc","Activision","0.33","0.35","0","0.14","0.82","Excelente"
"Hasbro Family Game Night 3","Wii","2010","Misc","Electronic Arts","0.47","0.28","0","0.07","0.82","Bueno"
"Tales of the Abyss","3DS","2011","Role-Playing","Namco Bandai Games","0.42","0.19","0.14","0.06","0.82","Excelente"
"Twisted Metal (2012)","PS3","2012","Action","Sony Computer Entertainment","0.67","0.07","0","0.07","0.82","Aceptable"
"DmC: Devil May Cry","PS3","2013","Action","Capcom","0.24","0.28","0.19","0.12","0.82","Aceptable"
"Madden NFL 25","PS4","2013","Sports","Electronic Arts","0.62","0.13","0","0.07","0.82","Aceptable"
"Madden NFL 16","PS3","2015","Sports","Electronic Arts","0.56","0.11","0","0.15","0.82","Bueno"
"Madden NFL 17","XOne","2016","Sports","Electronic Arts","0.72","0.02","0","0.09","0.82","Aceptable"
"Street Fighter V","PS4","2016","Fighting","Capcom","0.35","0.26","0.08","0.13","0.82","Excelente"
"Mega Man","NES","1987","Platform","Capcom","0.45","0.08","0.27","0.01","0.81","Aceptable"
"Kamaitachi no Yoru","SNES","1994","Adventure","ChunSoft","0","0","0.81","0","0.81","Malo"
"Super Bomberman 2","SNES","1994","Puzzle","Hudson Soft","0","0","0.81","0","0.81","Aceptable"
"EarthBound","SNES","1994","Role-Playing","Nintendo","0","0","0.81","0","0.81","Aceptable"
"The Next Tetris","PS","1998","Puzzle","Atari","0.45","0.31","0","0.05","0.81","Malo"
"World Soccer Jikkyou Winning Eleven 3: World Cup France '98","PS","1998","Sports","Konami Digital Entertainment","0","0","0.75","0.05","0.81","Bueno"
"Jikkyou Powerful Pro Yakyuu '99 Kaimakuban","PS","1999","Sports","Konami Digital Entertainment","0","0","0.76","0.05","0.81","Malo"
"Valkyrie Profile","PS","1999","Role-Playing","Enix Corporation","0.07","0.05","0.63","0.05","0.81","Aceptable"
"Army Men: Sarge's Heroes","N64","1999","Action","3DO","0.68","0.12","0","0.01","0.81","Excelente"
"Dragon Warrior III","GB","2000","Role-Playing","Enix Corporation","0","0","0.81","0","0.81","Bueno"
"Ready 2 Rumble Boxing: Round 2","PS2","2000","Fighting","Midway Games","0.4","0.31","0","0.1","0.81","Aceptable"
"Tales of Destiny II","PS","2000","Role-Playing","Namco Bandai Games","0.06","0.04","0.66","0.05","0.81","Excelente"
"NASCAR 2001","PS","2000","Racing","Electronic Arts","0.45","0.31","0","0.05","0.81","Aceptable"
"The Legend of Zelda: Four Swords Adventures","GC","2004","Action","Nintendo","0.63","0.16","0","0.02","0.81","Aceptable"
"Tom Clancy's Rainbow Six 3","PS2","2004","Shooter","Ubisoft","0.4","0.31","0","0.1","0.81","Excelente"
"The Sims 2","PS2","2005","Simulation","Electronic Arts","0.67","0.03","0","0.11","0.81","Bueno"
"Disney's The Little Mermaid: Ariel's Undersea Adventure","DS","2006","Action","Disney Interactive Studios","0.73","0.03","0","0.06","0.81","Excelente"
"Patapon","PSP","2007","Misc","Sony Computer Entertainment","0.33","0.25","0.07","0.17","0.81","Bueno"
"Final Fantasy XI: Wings of the Goddess","PS2","2007","Role-Playing","Square Enix","0.35","0.27","0.09","0.09","0.81","Bueno"
"Ben 10: Alien Force","Wii","2008","Action","Koch Media","0.52","0.21","0","0.07","0.81","Aceptable"
"Pro Evolution Soccer 2010","X360","2009","Sports","Konami Digital Entertainment","0.12","0.58","0.03","0.08","0.81","Malo"
"DiRT 2","X360","2009","Racing","Codemasters","0.32","0.4","0","0.09","0.81","Bueno"
"NCAA Football 10","PS3","2009","Sports","Electronic Arts","0.75","0","0","0.06","0.81","Excelente"
"Guitar Hero: Metallica","X360","2009","Misc","Activision","0.52","0.21","0","0.07","0.81","Malo"
"EA Sports Active NFL Training Camp","Wii","2010","Sports","Electronic Arts","0.77","0","0","0.05","0.81","Malo"
"Final Fantasy Type-0","PSP","2011","Role-Playing","Unknown","0","0","0.81","0","0.81","Aceptable"
"Professor Layton vs Phoenix Wright: Ace Attorney","3DS","2012","Puzzle","Level 5","0.2","0.26","0.3","0.04","0.81","Aceptable"
"Lego Batman 3: Beyond Gotham","PS3","2014","Action","Warner Bros. Interactive Entertainment","0.33","0.35","0","0.13","0.81","Aceptable"
"Guitar Hero Live","PS4","2015","Misc","Activision","0.32","0.35","0","0.13","0.81","Aceptable"
"Dying Light","XOne","2015","Action","Warner Bros. Interactive Entertainment","0.43","0.3","0.01","0.07","0.81","Aceptable"
"Capcom's Soccer Shootout","SNES","1993","Sports","Nintendo","0","0","0.8","0","0.8","Malo"
"Moto Racer","PS","1997","Racing","Electronic Arts","0.45","0.3","0","0.05","0.8","Excelente"
"Final Fantasy Anthology","PS","1999","Role-Playing","Square EA","0.45","0.3","0","0.05","0.8","Bueno"
"Who wants to be a millionaire","PS","2000","Misc","Eidos Interactive","0.45","0.3","0","0.05","0.8","Excelente"
"Super Robot Taisen Î±","PS","2000","Strategy","Banpresto","0","0","0.75","0.05","0.8","Excelente"
"Need for Speed: Hot Pursuit 2","GC","2002","Racing","Electronic Arts","0.68","0.09","0","0.02","0.8","Malo"
"Tales of Destiny 2","PS2","2002","Role-Playing","Namco Bandai Games","0","0","0.8","0","0.8","Aceptable"
"Star Wars Rogue Squadron III: Rebel Strike","GC","2003","Simulation","LucasArts","0.62","0.16","0","0.02","0.8","Malo"
"Hitman: Contracts","PS2","2004","Shooter","Eidos Interactive","0.39","0.31","0","0.1","0.8","Malo"
"Prince of Persia: Warrior Within","XB","2004","Action","Ubisoft","0.48","0.28","0","0.04","0.8","Malo"
"Yakuza","PS2","2005","Action","Sega","0.03","0.02","0.74","0.01","0.8","Malo"
"The Sims 2: Pets","PSP","2006","Simulation","Electronic Arts","0.19","0.39","0","0.22","0.8","Malo"
"The Sims 2: Castaway","PSP","2007","Simulation","Electronic Arts","0.08","0.46","0","0.25","0.8","Malo"
"Rayman Raving Rabbids 2","DS","2007","Misc","Ubisoft","0.73","0.01","0","0.06","0.8","Bueno"
"All Star Cheer Squad","Wii","2008","Sports","THQ","0.43","0.29","0","0.08","0.8","Malo"
"MadWorld","Wii","2009","Action","Sega","0.46","0.25","0.02","0.07","0.8","Aceptable"
"Pro Evolution Soccer 2010","PSP","2009","Sports","Konami Digital Entertainment","0.09","0.33","0.2","0.18","0.8","Excelente"
"Band Hero","X360","2009","Misc","Activision","0.51","0.22","0","0.07","0.8","Bueno"
"Sonic & SEGA All-Stars Racing with Banjo-Kazooie","X360","2010","Racing","Sega","0.37","0.35","0","0.07","0.8","Malo"
"Star Wars: The Force Unleashed II","Wii","2010","Action","LucasArts","0.54","0.19","0","0.06","0.8","Bueno"
"Fight Night Champion","X360","2011","Fighting","Electronic Arts","0.4","0.33","0","0.07","0.8","Aceptable"
"ABBA: You Can Dance","Wii","2011","Misc","Ubisoft","0.19","0.5","0","0.11","0.8","Malo"
"Goldeneye 007: Reloaded","PS3","2011","Shooter","Activision","0.33","0.35","0","0.13","0.8","Bueno"
"Sniper: Ghost Warrior","PS3","2011","Shooter","City Interactive","0.26","0.36","0.04","0.14","0.8","Aceptable"
"[Prototype 2]","X360","2012","Action","Activision","0.48","0.25","0","0.07","0.8","Aceptable"
"Dragon's Dogma","X360","2012","Role-Playing","Capcom","0.42","0.24","0.07","0.06","0.8","Aceptable"
"Darksiders II","X360","2012","Action","THQ","0.45","0.28","0","0.07","0.8","Malo"
"NCAA Football 14","PS3","2013","Sports","Electronic Arts","0.75","0","0","0.06","0.8","Malo"
"Aliens: Colonial Marines","X360","2013","Shooter","Sega","0.36","0.37","0","0.07","0.8","Excelente"
"Resident Evil: Revelations","PS3","2013","Action","Capcom","0.14","0.32","0.22","0.12","0.8","Bueno"
"Mario & Sonic at the Sochi 2014 Olympic Winter Games","WiiU","2013","Sports","Nintendo","0.39","0.22","0.13","0.06","0.8","Bueno"
"NBA 2K16","PS3","2015","Sports","Take-Two Interactive","0.44","0.19","0.03","0.13","0.8","Excelente"
"Alien","2600","1981","Action","20th Century Fox Video Games","0.74","0.04","0","0.01","0.79","Malo"
"Mega Man 5","NES","1992","Platform","Capcom","0.39","0.07","0.32","0.01","0.79","Malo"
"Ridge Racer","PS","1994","Racing","Sony Computer Entertainment","0","0","0.74","0.05","0.79","Aceptable"
"Momotarou Dentetsu 7","PS","1997","Simulation","Hudson Entertainment","0","0","0.74","0.05","0.79","Aceptable"
"Major League Baseball Featuring Ken Griffey Jr","N64","1998","Sports","Nintendo","0.75","0.03","0","0.01","0.79","Malo"
"WCW Mayhem","N64","1999","Fighting","Electronic Arts","0.63","0.15","0","0.01","0.79","Excelente"
"Armored Core 2","PS2","2000","Simulation","Ubisoft","0.28","0.22","0.23","0.07","0.79","Malo"
"Motocross Mania","PS","2001","Racing","Take-Two Interactive","0.44","0.3","0","0.05","0.79","Aceptable"
"Harvest Moon: A Wonderful Life","GC","2003","Role-Playing","Ubisoft","0.61","0.16","0","0.02","0.79","Bueno"
"FIFA Soccer 2004","XB","2003","Sports","Electronic Arts","0.24","0.49","0","0.05","0.79","Bueno"
"Dragon Ball Z: Budokai Tenkaichi 2","PS2","2006","Fighting","Atari","0.66","0.02","0","0.11","0.79","Aceptable"
"Final Fantasy Tactics A2: Grimoire of the Rift","DS","2007","Role-Playing","Square Enix","0.42","0.03","0.3","0.04","0.79","Malo"
"Dance Dance Revolution SuperNOVA 2","PS2","2007","Simulation","Konami Digital Entertainment","0.64","0.03","0.02","0.1","0.79","Aceptable"
"Ghost Squad","Wii","2007","Shooter","Sega","0.42","0.21","0.08","0.07","0.79","Aceptable"
"Drawn to Life","DS","2007","Action","THQ","0.71","0.02","0","0.06","0.79","Aceptable"
"NCAA Football 08","PS2","2007","Sports","Electronic Arts","0.65","0.03","0","0.11","0.79","Bueno"
"Guitar Hero: Aerosmith","PS2","2008","Misc","Activision","0.61","0","0","0.18","0.79","Malo"
"Star Wars The Clone Wars: Jedi Alliance","DS","2008","Action","LucasArts","0.62","0.11","0","0.07","0.79","Malo"
"Too Human","X360","2008","Role-Playing","Microsoft Game Studios","0.38","0.3","0.03","0.08","0.79","Bueno"
"Sid Meier's Civilization Revolution","PS3","2008","Strategy","Take-Two Interactive","0.49","0.19","0.01","0.1","0.79","Bueno"
"Personal Trainer: Walking","DS","2008","Sports","Nintendo","0.22","0.32","0.17","0.07","0.79","Aceptable"
"The Godfather II","X360","2009","Action","Electronic Arts","0.47","0.24","0.01","0.08","0.79","Excelente"
"Invizimals","PSP","2009","Strategy","Sony Computer Entertainment","0.17","0.51","0","0.11","0.79","Bueno"
"Tiger Woods PGA Tour 10","PS3","2009","Sports","Electronic Arts","0.42","0.25","0","0.12","0.79","Malo"
"Star Ocean: The Last Hope","X360","2009","Role-Playing","Square Enix","0.32","0.2","0.21","0.06","0.79","Bueno"
"pro evolution soccer 2011","PSP","2010","Sports","Konami Digital Entertainment","0.05","0.3","0.29","0.16","0.79","Aceptable"
"Naruto Shippuden: Ultimate Ninja Storm 2","X360","2010","Fighting","Namco Bandai Games","0.43","0.27","0.01","0.07","0.79","Malo"
"Rayman Origins","X360","2011","Platform","Ubisoft","0.38","0.34","0","0.08","0.79","Aceptable"
"FIFA 12","Wii","2011","Sports","Electronic Arts","0.16","0.52","0","0.11","0.79","Excelente"
"PokePark 2: Wonders Beyond","Wii","2011","Action","Nintendo","0.27","0.2","0.27","0.05","0.79","Malo"
"The Walking Dead: Season One","PS3","2012","Adventure","Avanquest Software","0.4","0.25","0.03","0.11","0.79","Bueno"
"Dead Island: Riptide","X360","2013","Action","Deep Silver","0.44","0.27","0.01","0.07","0.79","Excelente"
"Dragon Quest Monsters 2","3DS","2014","Role-Playing","Square Enix","0","0","0.79","0","0.79","Excelente"
"Yars' Revenge","2600","1982","Shooter","Atari","0.73","0.04","0","0.01","0.78","Excelente"
"Jr. Pac-Man","2600","1983","Puzzle","Atari","0.72","0.05","0","0.01","0.78","Excelente"
"The 7th Guest","PC","1992","Adventure","Virgin Interactive","0.01","0.77","0","0","0.78","Malo"
"Torneko no Daibouken: Fushigi no Dungeon","SNES","1993","Role-Playing","ChunSoft","0","0","0.78","0","0.78","Malo"
"Doom","PS","1994","Shooter","Infogrames","0.43","0.3","0","0.05","0.78","Malo"
"Battle Stations","PS","1997","Strategy","Electronic Arts","0.43","0.29","0","0.05","0.78","Malo"
"NBA ShootOut 98","PS","1998","Sports","Sony Computer Entertainment","0.43","0.29","0","0.05","0.78","Malo"
"Marvel vs. Capcom: Clash of Super Heroes","PS","1999","Fighting","Capcom","0.43","0.3","0","0.05","0.78","Malo"
"Secret Agent Barbie: Royal Jewels Mission","GBA","2002","Platform","Vivendi Games","0.56","0.21","0","0.01","0.78","Malo"
"James Bond 007: Nightfire","GC","2002","Shooter","Electronic Arts","0.6","0.16","0","0.02","0.78","Aceptable"
"Tom Clancy's Splinter Cell: Double Agent","X360","2006","Action","Ubisoft","0.67","0.05","0.01","0.06","0.78","Malo"
"Metroid Prime Hunters","DS","2006","Shooter","Nintendo","0.58","0.04","0.11","0.06","0.78","Bueno"
"Worms: Open Warfare","PSP","2006","Strategy","THQ","0.11","0.43","0","0.24","0.78","Malo"
"NBA 2K7","PS2","2006","Sports","Take-Two Interactive","0.65","0.02","0","0.11","0.78","Aceptable"
"Buzz! The Hollywood Quiz","PS2","2007","Misc","Sony Computer Entertainment","0.17","0","0","0.61","0.78","Aceptable"
"Lips","X360","2008","Misc","Microsoft Game Studios","0.12","0.56","0","0.1","0.78","Bueno"
"My Little Pony: Pinkie Pie's Party","DS","2008","Adventure","THQ","0.72","0","0","0.06","0.78","Excelente"
"Need for Speed: ProStreet","PSP","2008","Racing","Electronic Arts","0.24","0.33","0.01","0.2","0.78","Bueno"
"Banjo-Kazooie: Nuts & Bolts","X360","2008","Platform","Microsoft Game Studios","0.32","0.36","0","0.09","0.78","Aceptable"
"Puzzler World","DS","2009","Puzzle","Ubisoft","0.41","0.3","0","0.07","0.78","Aceptable"
"We Sing","Wii","2009","Misc","Nordic Games","0","0.69","0","0.09","0.78","Aceptable"
"Star Wars Battlefront: Elite Squadron","PSP","2009","Shooter","LucasArts","0.38","0.24","0","0.16","0.78","Bueno"
